ALIMENTOS;CALORIAS(KCal);PROTEINAS(g);GORDURAS(g);H.CARBONO(g);Grupo
Pinhão;633;5.30;1.00;62.10;6
Pipoca;370;10.80;4.40;73.00;6
Presunto;320;16.00;28.00;0.00;4
Queijo branco;350;19.60;26.80;3.00;3
Queijo mozzarela;308;30.00;21.00;0.00;3
Queijo parmesão;385;33.00;25.50;1.50;3
Queijo prato;352;29.30;26.20;1.70;3
Quiabo;50;2.20;0.20;9.70;7
Rabanete;24;0.90;0.10;5.00;7
Repolho;30;1.70;0.20;6.10;7
Requeijão;240;30.90;12.40;0.00;3
Rim de vaca;124;16.80;5.00;1.80;4
Romã;70;0.80;0.70;16.20;1
Salsa;53;3.20;0.60;8.50;7
Salsicha;330;16.80;23.10;0.00;4
Sardinha (azeite);312;20.50;24.40;0.50;4
Sardinha (tomate);196;18.70;12.20;1.70;4
Sardinha fresca;270;23.00;18.00;0.00;4
Tâmara;224;1.40;0.40;60.00;1
Tangerina;49;0.70;0.20;11.00;1
Tomate;23;0.90;0.30;4.60;7
Torresmos;541;9.10;55.00;0.00;4
Toucinho;650;9.00;66.00;1.60;4
Trigo integral;332;12.70;2.50;70.00;5
Uva;68;0.60;0.70;16.80;1
Uva passa;310;2.50;0.30;75.00;1
Vagem;36;2.00;0.20;6.50;5
